ZIP_Code,Total_Estd_Population,Income_<_Poverty_level,Inc-<-PL_Male,Inc-<-PL_Male_Not-high-school-grad,Inc-<-PL_Male_High-school-grad,Inc-<-PL_Male_Some-college-associates,Inc-<-PL_Male_Bachelors-higher,Inc-<-PL_Female,Inc-<-PL_Female_Not-high-school-grad,Inc-<-PL_Female_High-school-grad,Inc-<-PL_Female_Some-college-associates,Inc-<-PL_Female_Bachelors-higher,Income_>=_Poverty-level,Inc->=-PL_Male,Inc->=-PL_Male_Not-high-school-grad,Inc->=-PL_Male_High-school-grad,Inc->=-PL_Male_Some-college-associate,Inc->=-PL_Male_Bachelors-higher,Inc->=-PL_Female,Inc->=-PL_Female_Not-high-school-grad,Inc->=-PL_Female_High-school-grad,Inc->=-PL_Female_Some-college-associates,Inc->=-PL_Female_Bachelors-higher
40023,3692,179,52,0,0,52,0,127,0,29,98,0,3513,1921,86,557,558,720,1592,67,329,413,783
40025,83,0,0,0,0,0,0,0,0,0,0,0,83,41,0,0,0,41,42,0,0,10,32
40056,2269,45,28,0,6,22,0,17,14,3,0,0,2224,1028,32,111,402,483,1196,26,252,341,577
40118,6338,643,195,36,115,44,0,448,82,114,251,1,5695,2894,746,1305,623,220,2801,309,1194,728,570
40177,1147,285,128,15,89,23,1,157,44,34,62,17,862,455,129,163,83,80,407,22,187,118,80
40202,4326,2078,1280,200,706,365,9,798,96,190,366,146,2248,1070,74,273,249,474,1178,140,240,300,498
40203,11696,3914,1733,405,768,487,73,2181,708,662,694,117,7782,3906,318,1058,1413,1117,3876,207,900,1525,1244
40204,10937,1096,484,53,134,198,99,612,88,178,210,136,9841,5224,191,841,1407,2785,4617,123,659,1092,2743
40205,17108,934,423,121,46,88,168,511,40,43,137,291,16174,7896,162,744,1835,5155,8278,190,967,1717,5404
40206,14681,1419,733,126,233,174,200,686,44,92,283,267,13262,6505,398,1032,1434,3641,6757,329,1015,1451,3962
40207,22317,1210,301,27,71,53,150,909,67,177,266,399,21107,10181,228,983,1809,7161,10926,162,1123,2449,7192
40208,6448,1494,767,348,143,150,126,727,153,281,210,83,4954,2597,196,646,907,848,2357,190,583,899,685
40209,315,15,0,0,0,0,0,15,0,15,0,0,300,61,7,18,30,6,239,125,17,86,11
40210,8503,2749,907,344,381,172,10,1842,637,654,499,52,5754,2523,361,852,1167,143,3231,316,908,1657,350
40211,13859,3890,1310,438,597,213,62,2580,632,835,931,182,9969,3705,601,1766,1110,228,6264,1054,1672,2823,715
40212,10737,3303,1168,348,565,209,46,2135,664,765,628,78,7434,3431,570,1843,641,377,4003,596,1405,1452,550
40213,11026,1336,534,169,159,126,80,802,181,431,132,58,9690,4813,555,1472,1721,1065,4877,393,1373,1776,1335
40214,30234,4448,1879,439,619,575,246,2569,667,783,888,231,25786,13115,1920,4478,4262,2455,12671,1495,3595,4216,3365
40215,12870,3079,1283,354,574,303,52,1796,548,604,580,64,9791,5144,1034,2084,1577,449,4647,747,1533,1773,594
40216,28803,4091,1342,319,741,235,47,2749,809,1051,810,79,24712,11267,1296,4649,3967,1355,13445,1752,5213,4111,2369
40217,9447,1021,636,60,118,131,327,385,86,96,83,120,8426,3945,191,1212,1022,1520,4481,251,868,1346,2016
40218,23164,2612,1083,280,401,205,197,1529,291,548,507,183,20552,10727,984,3681,3276,2786,9825,889,2588,3688,2660
40219,26284,2575,1018,256,516,195,51,1557,307,697,536,17,23709,11588,1394,4559,3622,2013,12121,1452,3847,4154,2668
40220,24950,1507,521,78,103,90,250,986,201,344,227,214,23443,10814,364,1863,3786,4801,12629,358,2748,4457,5066
40222,16236,1004,405,52,100,110,143,599,80,179,215,125,15232,7372,197,982,1792,4401,7860,197,849,2250,4564
40223,16398,461,106,21,5,34,46,355,46,81,161,67,15937,7571,250,879,1841,4601,8366,236,1554,2265,4311
40228,11360,828,438,109,69,228,32,390,98,227,16,49,10532,5002,357,1486,1925,1234,5530,210,1510,2243,1567
40229,27875,2372,808,233,218,300,57,1564,472,598,377,117,25503,12712,1020,5140,4569,1983,12791,995,4927,4576,2293
40231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40241,21328,725,251,18,94,90,49,474,68,126,189,91,20603,9751,363,1451,2235,5702,10852,264,1376,3343,5869
40242,8183,486,221,56,52,74,39,265,26,74,126,39,7697,3620,217,619,1146,1638,4077,198,566,1297,2016
40243,7863,398,103,1,35,10,57,295,34,111,118,32,7465,3489,70,549,909,1961,3976,105,692,1516,1663
40245,22954,1117,373,17,68,88,200,744,127,80,161,376,21837,10343,244,774,2531,6794,11494,311,1329,3150,6704
40258,18017,1510,567,53,329,154,31,943,261,233,327,122,16507,7804,802,3324,2932,746,8703,879,3149,3147,1528
40272,25992,2555,710,213,345,117,35,1845,513,699,592,41,23437,11142,1503,4180,3827,1632,12295,1105,4772,3927,2491
40280,189,47,24,0,0,0,24,23,0,0,0,23,142,77,0,0,9,68,65,0,33,0,32
40291,26911,1304,493,103,166,195,29,811,54,322,282,153,25607,12037,629,3097,4162,4149,13570,502,3596,4659,4813
40299,29437,1137,301,9,190,65,37,836,172,72,376,216,28300,13619,656,2947,4548,5468,14681,555,3607,4567,5952
